"year","floatDate","floattime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata"
2022,8.58065,20.91667,0.77163,2.316e-13,0.00227,0.72663,3,0.00227,0.75413,1.67042,0.00228,0.67874,0.84233,2.868e-13,2.0012e-13,0.66522,0.49909,2.9659e-13,0.00038,65527.398,0,-12,-26,0
2022,8.58065,21,0.71533,2.6278e-13,0.00219,0.53428,0.32772,0.00207,1.61939,1.38797,0.00207,0.64544,0.687,3.1189e-13,2.8109e-13,0.48217,0.38144,5.0711e-13,0.00089,65492.378,0,-12,-26,0
2022,8.58065,21.08333,0.54213,4.1711e-13,0.00575,0.48526,3.64844,0.00569,0.49213,1.67542,0.00568,0.46723,0.54867,5.3442e-13,4.0887e-13,0.51271,0.40158,4.5776e-13,0.00077,65493.136,0,-12,-26,0
2022,8.58065,21.16667,0.62699,3.2733e-13,0.00481,0.54731,4.58984,0.00469,0.552,1.67979,0.00469,0.53323,0.68797,4.2878e-13,2.8042e-13,0.70918,0.52803,2.6659e-13,0.00043,60940.242,0,-12,-26,0
2022,8.58065,21.25,1.29002,9.8348e-14,0.00073,1.00886,0.34955,0.00065,1.30143,1.6794,7e-04,1.16151,1.28214,1.1714e-13,9.9358e-14,0.903,0.64472,1.7822e-13,0.00026,60416.096,0,-13,-26,0
2022,8.58065,21.33333,0.81448,2.1166e-13,0.00219,0.39638,0.07656,0.00184,7.82718,1.085,0.00185,0.69838,0.78898,2.7349e-13,2.2318e-13,0.45763,0.36691,5.5324e-13,0.00119,61210.088,0,-13,-26,0
2022,8.58065,21.41667,0.58795,3.6435e-13,0.00395,0.28761,0.07824,0.00342,5.24469,1.06555,0.00344,0.53138,0.54366,4.3127e-13,4.1516e-13,0.32228,0.27237,9.9243e-13,0.00184,57230.26,0,-13,-26,0
2022,8.58065,21.5,0.85907,1.9366e-13,0.00189,0.5912,0.21588,0.00175,2.94299,1.29533,0.00175,0.7826,0.79259,2.2622e-13,2.2149e-13,0.52184,0.40831,4.4449e-13,0.00075,59898.846,0,-13,-26,0
2022,8.58065,21.58333,1.33737,9.2614e-14,0.00087,1.06473,0.49754,0.00085,1.34487,1.66417,0.00087,1.15395,1.31737,1.1843e-13,9.4969e-14,0.98991,0.69612,1.5291e-13,0.00025,58329.186,0,-13,-26,0
2022,8.58065,21.66667,0.4862,5.0011e-13,0.00887,0.4212,3.9375,0.00878,0.42964,1.67007,0.00879,0.4176,0.43125,6.4441e-13,6.1077e-13,0.36922,0.30619,7.9119e-13,0.00202,54957.822,0,-13,-26,0
2022,8.58065,21.75,0.61242,3.4042e-13,0.00337,0.57992,2.625,0.00336,0.60742,1.66792,0.00337,0.54565,0.68973,4.1264e-13,2.7923e-13,0.49255,0.38933,4.8941e-13,8e-04,56141.49,0,-13,-26,0
2022,8.58065,21.83333,0.84937,1.9736e-13,0.00136,0.51265,0.13125,0.00101,5.22855,1.17185,0.00102,0.73597,0.84053,2.5061e-13,2.0083e-13,0.52907,0.41267,4.3442e-13,0.00062,58376.78,0,-13,-26,0
2022,8.58065,21.91667,0.58311,3.6942e-13,0.00574,0.51811,3.9375,0.00569,0.53311,1.67542,0.00569,0.50538,0.55836,4.6889e-13,3.9711e-13,0.49757,0.39169,4.8122e-13,0.00088,53157.568,0,-13,-26,0
2022,8.58065,22,1.26098,1.0215e-13,0.00106,0.56235,0.05983,0.00077,45.86298,0.94765,0.00077,1.10871,1.26249,1.2659e-13,1.0195e-13,0.62351,0.47215,3.3039e-13,0.00048,53810.242,0,-13,-26,0
2022,8.58065,22.08333,0.53664,4.2425e-13,0.00262,0.31701,0.11608,0.00155,0.58289,1.67104,0.00204,0.51442,0.536,4.5523e-13,4.2509e-13,0.34197,0.28695,8.9906e-13,0.00125,52363.754,0,-13,-26,0
2022,8.58065,22.16667,1.09221,1.2979e-13,0.00113,0.51868,0.06619,0.00069,29.55698,0.9713,0.00069,1.02248,1.0722,1.4488e-13,1.3385e-13,0.56266,0.43379,3.9205e-13,0.00051,50411.232,0,-13,-27,0
2022,8.58065,22.25,2.00217,4.7271e-14,0.00031,1.24206,0.12989,2e-04,2.02282,1.69218,0.00025,1.82286,1.92067,5.5272e-14,5.0661e-14,1.29671,0.87183,9.7505e-14,0.00014,50982.116,0,-13,-26,0
2022,8.58065,22.33333,1.25878,1.0245e-13,0.00113,1.20878,3.125,0.00112,1.26628,1.66417,0.00113,1.08024,1.31683,1.322e-13,9.5034e-14,0.94186,0.66915,1.6613e-13,0.00027,54295.502,0,-13,-26,0
2022,8.58065,22.41667,0.46228,5.4398e-13,0.00973,0.19799,0.07178,0.00938,2.95423,1.07322,0.00943,0.56478,0.4209,3.8961e-13,6.36e-13,0.23483,0.20984,1.682e-12,0.00437,50952.864,0,-13,-26,0
2022,8.58065,22.5,0.57544,3.7765e-13,0.00541,0.22256,0.05266,0.0047,7.78822,0.98732,0.00479,0.61343,0.53961,3.3949e-13,4.2036e-13,0.27276,0.23716,1.3106e-12,0.00286,52668.998,0,-13,-26,0
